provision_id,source_type,part_chapter,article_section,title,verbatim_text_excerpt,simplified_explanation,keywords,landmark_case_1,lc1_year,lc1_holding_summary,landmark_case_2,lc2_year,lc2_holding_summary,upsc_relevance,category,enforcement_year,nodal_ministry,legal_classification,punishment_quantum,exceptions_and_limitations,cross_references,bench_strength,current_precedent_status,primary_source_url,current_law_mapping,row_status
IND-208,Statute,Labour Laws,Code on Social Security 2020,Code on Social Security 2020,"The Code on Social Security, 2020 consolidates the laws relating to social security with the goal to extend social security to all employees and workers either in the organised or unorganised or any other sectors. It subsumes nine laws including EPF Act 1952, ESI Act 1948, Maternity Benefit Act 1961, Gratuity Act 1972","Extends social security to gig workers, platform workers, and unorganised sector workers for the first time — a landmark change. Key bodies: EPFO (Employees Provident Fund Organisation) and ESIC (Employees State Insurance Corporation). Aggregators (like Ola, Uber, Swiggy) must contribute to a social security fund for gig/platform workers.","Social Security Code,EPFO,ESIC,Gig Workers,Platform Workers,Maternity Benefit,Gratuity,Unorganised Sector",CITU v. Union of India,2021.0,"Extension of social security to unorganised workers is constitutionally mandated under Articles 38, 39, 41, 42, 43",Provident Fund Commissioner v. Central Board of Trustees,2019.0,EPFO coverage and contribution requirements are mandatory; employer cannot contract out of social security obligations,High,Labour Laws - Social Security,2020,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-209,Statute,Labour Laws,Occupational Safety Health and Working Conditions Code 2020,OSH Code 2020,"The Occupational Safety, Health and Working Conditions Code, 2020 consolidates and amends the laws regulating the occupational safety, health and working conditions of persons employed in an establishment. It subsumes 13 laws including Factories Act 1948, Mines Act 1952, Plantation Labour Act 1951","Unified law for workplace safety covering factories, mines, construction, plantations, and other establishments. Key features: single registration and licence for all establishments, mandatory safety committees in establishments with 250+ workers, annual health check-ups, occupational safety standards, and extension to contract labour. Replaces fragmented sector-specific laws.","OSH Code,Workplace Safety,Factories Act,Mines Act,Occupational Health,Safety Committee,Contract Labour",M.C. Mehta v. Union of India,1986.0,Right to health and safe working conditions is part of Article 21; employer has constitutional duty of care,Consumer Education and Research Centre v. Union of India,1995.0,Right to health of workers is a Fundamental Right; safety regulations at workplace are constitutionally mandated,High,Labour Laws - OSH Code,2020,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-210,Statute,Labour Laws,MGNREGA 2005,Mahatma Gandhi National Rural Employment Guarantee Act 2005,There shall be a Mahatma Gandhi National Rural Employment Guarantee Scheme for providing not less than one hundred days of guaranteed wage employment in every financial year to every household in rural areas whose adult members volunteer to do unskilled manual work,"Landmark rural employment law guaranteeing 100 days of unskilled work per household per year at statutory minimum wages. If work not provided within 15 days, unemployment allowance is payable. Employment is demand-driven — a legal entitlement, not a welfare scheme. Has benefited over 15 crore households annually. Also creates rural infrastructure assets.","MGNREGA,100 Days Work,Rural Employment,Guaranteed Employment,Unemployment Allowance,Unskilled Work",People's Union for Civil Liberties v. Union of India,2001.0,Right to food and employment is part of right to life under Article 21; SC directed implementation of rural employment schemes,Swaraj Abhiyan v. Union of India,2016.0,SC monitored MGNREGA implementation during drought; directed payment of pending wages and drought relief,High,Labour Laws - Rural Employment,2005,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-211,Statute,New Criminal Laws,Bharatiya Nyaya Sanhita 2023,Bharatiya Nyaya Sanhita (BNS) 2023,"The Bharatiya Nyaya Sanhita seeks to consolidate and amend the provisions relating to general offences applicable throughout India. It replaces the Bharatiya Nyaya Sanhita (BNS), 1860",Replaced BNS from 1 July 2024. Key changes: Section 103 (murder) replaces BNS Section 103 (formerly 302); organized crime and terrorism added as offences; sedition (Section 152 (formerly 124A) BNS) removed but replaced by Section 152 (acts endangering sovereignty/integrity); enhanced protection for women and children; community service as new punishment.,"BNS,Bharatiya Nyaya Sanhita,BNS Replacement,Murder,Sedition Removed,Organized Crime,Community Service,2024",Kedar Nath Singh v. State of Bihar,1962.0,"Sedition (BNS 124A) can only apply to incitement to violence or disorder, not mere criticism — now replaced by BNS Section 152",S.G. Vombatkere v. Union of India,2022.0,SC stayed sedition law pending review; eventually replaced by BNS 2023 without sedition,High,Criminal Laws - BNS,2023,Ministry of Home Affairs,Section-specific; generally cognizable / non-bailable for core offences,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Bharatiya Nyaya Sanhita (BNS) / BNSS Framework,Active
IND-212,Statute,New Criminal Laws,Bharatiya Nagarik Suraksha Sanhita 2023,Bharatiya Nagarik Suraksha Sanhita (BNSS) 2023,"The Bharatiya Nagarik Suraksha Sanhita seeks to consolidate and amend the law relating to the Bharatiya Nagarik Suraksha Sanhita (BNSS) and matters connected therewith. It replaces the Bharatiya Nagarik Suraksha Sanhita (BNSS), 1973",Replaced BNSS from 1 July 2024. Key changes: 90-day remand (extendable to 180 days for serious crimes); mandatory audio-video recording of search and seizure; time-bound trials and investigations; Zero FIR to be transferred within 15 days; victims' rights strengthened; electronic summons and processes recognized.,"BNSS,BNSS Replacement,Criminal Procedure,FIR,Remand,90 Days,Zero FIR,Trial Timeline",Arnab Manoranjan Goswami v. State of Maharashtra,2020.0,Personal liberty under Article 21 requires courts to apply bail provisions liberally,Satender Kumar Antil v. CBI,2022.0,Default bail is a right; delay in filing charge sheet cannot be used to detain accused indefinitely,High,Criminal Laws - BNSS,2023,Ministry of Home Affairs,Procedural law; classification is section-specific,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Bharatiya Nyaya Sanhita (BNS) / BNSS Framework,Active
IND-213,Statute,New Criminal Laws,BSA 2023,"Bharatiya Sakshya Adhiniyam, 2023","The Bharatiya Sakshya Adhiniyam, 2023 consolidates and provides the general rules and principles of evidence for fair trial, and came into force on 1 July 2024.","The Bharatiya Sakshya Adhiniyam, 2023 is the operative evidence law, replacing the Bharatiya Sakshya Adhiniyam (BSA), 1872 from 1 July 2024. It modernises proof rules for electronic records, presumptions, and examination of evidence.","BSA,Evidence Law,Electronic Evidence,Proof,Evidence Act Repeal,1 July 2024",State of Maharashtra v. Praful Desai,2003.0,Video conferencing for recording evidence is valid; physical presence not always required,Anvar P.V. v. P.K. Basheer,2014.0,Electronic records require proper certification under Evidence Act; digital evidence must be authenticated,High,Criminal Laws - BSA,2023,Ministry of Home Affairs,Not applicable,Evidence law; no standalone punishment quantum.,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-214,Statute,Security Laws,UAPA 1967 as amended 2019,Unlawful Activities (Prevention) Act 1967 as amended,"An Act to provide for the more effective prevention of certain unlawful activities of individuals and associations, and for matters connected therewith. UAPA designates organizations AND individuals as terrorists",Major 2019 Amendment allows designation of individuals as terrorists (not just organisations). NIA can investigate UAPA cases. Bail is extremely difficult — accused must prove innocence prima facie. No time limit for investigation before charge sheet. High Courts and Supreme Court have cautioned against misuse.,"UAPA,Unlawful Activities,Terrorist Designation,Individual Designation,NIA,Anti-Terror",National Investigation Agency v. Zahoor Ahmad Shah Watali,2019.0,Bail standard under UAPA is very high — court must be satisfied that no prima facie case exists; cannot go into merits at bail stage,Union of India v. K.A. Najeeb,2021.0,Constitutional courts can grant bail on grounds of prolonged incarceration violating Article 21 even in UAPA cases,High,Security Laws - UAPA,1967,Ministry of Law and Justice / Respective Ministry,Section-specific; generally cognizable / non-bailable for core offences,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-215,Statute,Security Laws,NDPS Act 1985,Narcotic Drugs and Psychotropic Substances Act 1985,"An Act to consolidate and amend the law relating to narcotic drugs, to make stringent provisions for the control and regulation of operations relating to narcotic drugs and psychotropic substances, to provide for the forfeiture of property derived from, or used in, illicit traffic in narcotic drugs and psychotropic substances","Strict anti-narcotics law with reverse burden of proof — accused must prove innocence for commercial quantity drugs. Mandatory minimum sentences for commercial quantities. NCB (Narcotics Control Bureau) is the investigating agency. The Act distinguishes small quantity (no mandatory minimum), intermediate, and commercial quantity (10+ years).","NDPS Act,Narcotic Drugs,NCB,Reverse Burden,Commercial Quantity,Mandatory Minimum Sentence",Tofan Singh v. State of Tamil Nadu,2020.0,NCB officers are 'police officers' under NDPS; confessions before them are inadmissible as evidence,State of HP v. Pawan Kumar,2005.0,Strict compliance with NDPS Act procedures for sampling is mandatory; violation leads to acquittal,High,Security Laws - NDPS,1985,Ministry of Law and Justice / Respective Ministry,Section-specific; generally cognizable / non-bailable for core offences,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-216,Statute,Security Laws,PMLA 2002 as amended,Prevention of Money Laundering Act 2002 — Key Provisions,Whosoever directly or indirectly attempts to indulge or knowingly assists or knowingly is a party or is actually involved in any process or activity connected with proceeds of crime and projecting it as untainted property shall be guilty of the offence of money laundering under this Act,"Three stages of money laundering: Placement (introducing dirty money into financial system), Layering (disguising the trail), Integration (bringing money back as legitimate). ED (Enforcement Directorate) investigates. Twin test for bail: accused must show no prima facie guilt AND no likelihood of reoffending. Properties can be attached before conviction.","PMLA,Money Laundering,ED,Enforcement Directorate,Attachment,Twin Test,Proceeds of Crime",Vijay Madanlal Choudhary v. Union of India,2022.0,"PMLA's powers of arrest, search, attachment, and twin bail test upheld as constitutionally valid",Y. Balaji v. Karthik Desari,2023.0,PMLA cannot be invoked unless predicate offence (scheduled offence) is duly established,High,Security Laws - PMLA,2002,Ministry of Finance,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-217,Statute,Security Laws,IT Act 2000 and IT Amendment Act 2008,Information Technology Act 2000,"An Act to provide legal recognition for transactions carried out by means of electronic data interchange and other means of electronic communication, commonly referred to as electronic commerce, and to facilitate electronic filing of documents with Government agencies","IT Act provides legal validity for electronic documents, digital signatures, and e-contracts. Defines cybercrimes: hacking (Section 66), phishing, identity theft, cyber stalking, voyeurism, sexting. Section 69 allows government to intercept electronic communications for security. Section 66A (online offensive content) was struck down by SC as unconstitutional.","IT Act,Cybercrimes,Digital Signature,Section 66A,Electronic Commerce,Hacking,Cyber Law",Shreya Singhal v. Union of India,2015.0,"Section 66A IT Act struck down — vague, overbroad, and violates free speech under Article 19(1)(a)",Avinash Bajaj v. State (NCT of Delhi),2005.0,Internet intermediaries have limited liability for user-generated content under IT Act's safe harbour provisions,High,Security Laws - IT Act,2000,Ministry of Electronics and Information Technology,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-218,Statute,Commercial Laws,Companies Act 2013,Companies Act 2013,"An Act to consolidate and amend the law relating to companies. A company is a legal entity that is distinct from its members, with perpetual succession, common seal, and separate legal personality",Major reform of Indian corporate law. Key features: One Person Company (OPC); independent directors mandatory for listed companies; Serious Fraud Investigation Office (SFIO) for white-collar crime; mandatory 2% CSR spending for qualifying companies; National Company Law Tribunal (NCLT) replaces CLB; class action suits allowed; women director mandatory.,"Companies Act,NCLT,CSR,Independent Directors,One Person Company,SFIO,Women Director",Salomon v. Salomon and Co Ltd,1897.0,Foundational case on corporate personality — company is a separate legal entity distinct from its members,State of UP v. Renusagar Power Co,1988.0,Lifting the corporate veil justified when company is a sham or to prevent fraud,High,Commercial Laws - Companies,2013,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-219,Statute,Commercial Laws,SEBI Act 1992,Securities and Exchange Board of India Act 1992,"An Act to provide for the establishment of a Board to protect the interests of investors in securities and to promote the development of, and to regulate, the securities market and for matters connected therewith or incidental thereto","SEBI is the statutory regulator for capital markets. Powers: (1) Quasi-legislative — makes regulations; (2) Quasi-executive — investigates, conducts searches; (3) Quasi-judicial — adjudicates and imposes penalties. SEBI regulates: stock exchanges, brokers, mutual funds, FIIs, insider trading, takeover code, collective investment schemes.","SEBI,Securities Market,Stock Exchange,Insider Trading,Mutual Fund,Capital Markets",SEBI v. Rajkumar Nagpal,2022.0,SEBI has wide investigative powers; past misconduct in securities market can justify future bar from markets,NSE Co-location Case,2019.0,SEBI's powers extend to surveillance of market manipulation including algorithmic trading irregularities,High,Commercial Laws - SEBI,1992,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-220,Statute,Commercial Laws,Competition Act 2002,Competition Act 2002,"An Act to provide, keeping in view of the economic development of the country, for the establishment of a Commission to prevent practices having adverse effect on competition, to promote and sustain competition in markets, to protect the interests of consumers and to ensure freedom of trade","Competition Commission of India (CCI) established. Prohibits: (1) anti-competitive agreements (cartels, price-fixing, bid-rigging); (2) abuse of dominant position (predatory pricing, denial of market access); (3) combinations (mergers/acquisitions reducing competition). Dawn raids, leniency programme. CCI can impose penalty up to 10% of average turnover for 3 years.","Competition Act,CCI,Cartel,Dominant Position,Merger,Anti-Competitive,Predatory Pricing",CCI v. Steel Authority of India,2010.0,CCI has wide powers of investigation; forming prima facie opinion before investigation is mandatory,Google LLC v. CCI,2022.0,Digital platforms with dominant position cannot favour own services; CCI imposed Rs 1337 crore penalty on Google,High,Commercial Laws - Competition,2002,Ministry of Corporate Affairs,Not applicable,Section-specific civil penalties and monetary sanctions; quantum depends on contravention and turnover/asset metrics.,Subject to applicable constitutional/statutory limitations.,"Sections 3, 4, 5, 6, 27, 48 and 53A-53T",Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-221,Statute,Commercial Laws,Consumer Protection Act 2019,Consumer Protection Act 2019,"An Act to provide for protection of the interests of consumers and for the said purpose, to establish authorities for timely and effective administration and settlement of consumers disputes and for matters connected therewith or incidental thereto",Replaces Consumer Protection Act 1986. Key additions: e-commerce regulation (sellers must disclose information); product liability (manufacturer/seller liable for defective product even without negligence); mediation as alternate dispute resolution; Central Consumer Protection Authority (CCPA) for class actions; enhanced pecuniary jurisdiction of consumer forums.,"Consumer Protection Act,CCPA,Product Liability,E-commerce,Consumer Forum,Mediation,Defective Product",Lucknow Development Authority v. M.K. Gupta,1994.0,Consumer forums can award compensation for deficiency in service including by statutory bodies,Spring Meadows Hospital v. Harjol Ahluwalia,1998.0,Medical negligence falls within 'deficiency in service' under Consumer Protection Act,High,Commercial Laws - Consumer Protection,2019,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-222,Statute,Commercial Laws,Arbitration and Conciliation Act 1996 as amended,Arbitration and Conciliation Act 1996,"An Act to consolidate and amend the law relating to domestic arbitration, international commercial arbitration and enforcement of foreign arbitral awards. India adopted UNCITRAL Model Law through this Act",India's principal arbitration legislation. Key amendments in 2015 and 2019: strict time limits for completing arbitration (12 months + 6 months extension); automatic stay of award on filing appeal only if court is satisfied of fraud/corruption; Arbitration Council of India for accreditation; grading of arbitrators to ensure quality.,"Arbitration,ADR,UNCITRAL,International Commercial Arbitration,Foreign Award,Conciliation",BALCO v. Kaiser Aluminium Technical Services,2012.0,Seat of arbitration determines governing law; part I of the Act does not apply to foreign-seated arbitrations,Ssangyong Engineering v. NHAI,2019.0,Public policy review of arbitral awards is narrow; courts cannot re-examine merits of award,High,Commercial Laws - Arbitration,1996,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-223,Statute,Commercial Laws,FEMA 1999,Foreign Exchange Management Act 1999,An Act to consolidate and amend the law relating to foreign exchange with the objective of facilitating external trade and payments and for promoting the orderly development and maintenance of foreign exchange market in India,"Replaced FERA (Foreign Exchange Regulation Act) 1973. Major shift: forex violations are now civil offences (not criminal). RBI regulates capital account transactions; Centre regulates current account. FDI, FPI, ECB governed by FEMA. Compounding of offences allowed. Enforcement Directorate enforces FEMA alongside PMLA.","FEMA,Foreign Exchange,RBI,FDI,FPI,Capital Account,Current Account,Enforcement Directorate",Anuj Garg v. Hotel Association of India,2007.0,FEMA regulation must be proportionate; restrictions on foreign exchange must have reasonable nexus to monetary stability,K.P. Unnikrishnan v. Enforcement Directorate,2015.0,FEMA proceedings are civil in nature; mens rea not required; penalties are not criminal punishment,High,Commercial Laws - FEMA,1999,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-224,Statute,Commercial Laws,SARFAESI Act 2002,Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act 2002,"An Act to regulate securitisation and reconstruction of financial assets and enforcement of security interest and to provide for a Central database of security interests created on property rights, and for matters connected therewith or incidental thereto","SARFAESI allows banks and financial institutions to recover secured loans (above Rs 1 lakh) without court intervention. Banks can take possession of secured assets, manage them, and sell them on default without filing a civil suit. Borrower can approach Debt Recovery Tribunal within 45 days of taking possession.","SARFAESI,NPA,Loan Recovery,Secured Asset,Bank Recovery,DRT",Mardia Chemicals Ltd v. Union of India,2004.0,SARFAESI Act is constitutionally valid; borrower's right to approach DRT provides sufficient safeguard against arbitrary action,United Bank of India v. Satyawati Tondon,2010.0,SARFAESI proceedings are summary proceedings for recovery; courts should not interfere at possession stage,High,Commercial Laws - Banking Recovery,2002,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-225,Statute,Environmental Laws,Wildlife Protection Act 1972,Wildlife (Protection) Act 1972,"An Act to provide for the protection of wild animals, birds and plants and for matters connected therewith or ancillary or incidental thereto with a view to ensuring the ecological and environmental security of the country","India's comprehensive wildlife protection law. Creates Schedule I-VI for protected species (Schedule I — highest protection, no trade). Establishes National Parks (no human activity), Wildlife Sanctuaries (some activity permitted), Tiger Reserves, Community Reserves. CITES (Convention on International Trade in Endangered Species) compliance. Wildlife Crime Control Bureau.","Wildlife Protection Act,National Park,Wildlife Sanctuary,Tiger Reserve,CITES,Schedule I Species",T.N. Godavarman v. Union of India,1997.0,Ongoing PIL for forest and wildlife protection; SC has issued over 1000 orders on forest governance,Centre for Environment Law WWF-I v. Union of India,2013.0,Translocation of Asiatic Lions from Gir to Kuno Palpur directed for species survival — state's resistance overridden,High,Environmental Laws - Wildlife,1972,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-226,Statute,Environmental Laws,Forest Conservation Act 1980,Forest (Conservation) Act 1980,An Act to provide for the conservation of forests and for matters connected therewith or ancillary or incidental thereto. No State Government shall make or permit any use of forest land for non-forest purpose without obtaining prior approval of Central Government,"Prior approval of Central Government is mandatory for any diversion of forest land for non-forest purposes (mining, infrastructure, industry). The Forest (Conservation) Amendment Act 2023 renamed it Van Sanrakshan Evam Janpadha Parishad Adhiniyam but key approval requirement retained. Compensatory afforestation mandatory for diverted forest land.","Forest Conservation Act,Forest Diversion,Prior Approval,Non-Forest Purpose,Compensatory Afforestation,CAMPA",T.N. Godavarman v. Union of India,1997.0,SC expansively defined 'forest' — any area recorded as forest in government records requires prior approval,Lafarge Umiam Mining v. Union of India,2011.0,Prior approval under Forest Conservation Act is a non-derogable requirement; diversion without it is void,High,Environmental Laws - Forest Conservation,1980,"Ministry of Environment, Forest and Climate Change",Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-227,Statute,Environmental Laws,Biological Diversity Act 2002,Biological Diversity Act 2002,"An Act to provide for conservation of biological diversity, sustainable use of its components and fair and equitable sharing of the benefits arising out of the use of biological resources, their by-products and knowledge associated therewith","Implements the Convention on Biological Diversity (CBD) in India. Creates three-tier system: National Biodiversity Authority (NBA), State Biodiversity Boards (SBB), and Biodiversity Management Committees (BMC) at local levels. Regulates access to biological resources and associated traditional knowledge. Access and Benefit Sharing (ABS) — bio-resources cannot be used without approval and sharing benefits with local communities.","Biodiversity Act,NBA,Access Benefit Sharing,CBD,Traditional Knowledge,Bio-resources,BMC",Divya Pharmacy v. Union of India,2018.0,Commercial users of biological resources must comply with ABS requirements; traditional knowledge of communities must be protected,Union of India v. Biodiversity Management Committee,2019.0,BMCs at local level have important role in protecting bio-diversity; their constitution is mandatory,High,Environmental Laws - Biodiversity,2002,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-228,Statute,Environmental Laws,Coastal Regulation Zone Notification 2019,Coastal Regulation Zone (CRZ) Notification 2019,"The Ministry of Environment, Forest and Climate Change issues the Coastal Regulation Zone Notification under the Environment Protection Act 1986. It regulates activities in coastal areas to protect the fragile coastal ecosystem","CRZ classifies coastal areas into CRZ-I (ecologically sensitive), CRZ-II (developed urban areas), CRZ-III (rural areas), CRZ-IVA and IVB (water areas). Sets Hazard Line and HTL (High Tide Line)-based no-development zones. Construction, industry, and tourism activities regulated within 500 metres of HTL.","CRZ,Coastal Regulation,High Tide Line,Coastal Ecosystem,CRZ-I,CRZ-III,Hazard Line",Indian Council for Enviro-Legal Action v. Union of India,1996.0,Industries violating CRZ notification must pay Polluter Pays compensation; absolute liability applies,Goa Foundation v. Union of India,2014.0,CRZ notification must be strictly enforced; state cannot dilute it for tourism interests,High,Environmental Laws - Coastal,2019,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-229,Statute,Environmental Laws,National Green Tribunal Act 2010 — Key Provisions,NGT Act 2010 — Jurisdiction and Powers,The National Green Tribunal shall have jurisdiction over all civil cases where a substantial question relating to environment (including enforcement of any legal right relating to environment) is involved and such question arises out of the implementation of the enactments specified in Schedule I,"Schedule I laws under NGT jurisdiction: Water Act 1974, Air Act 1981, Environment Protection Act 1986, Forest Conservation Act 1980, Biodiversity Act 2002, Wildlife Protection Act, Public Liability Insurance Act 1991. NGT can award compensation and relief. Orders are like decrees of civil courts. Appellate jurisdiction over MoEF decisions.","NGT,National Green Tribunal,Schedule I,Environmental Justice,Compensation,Appellate Jurisdiction",M.K. Ranjitsinh v. Union of India,2021.0,SC recognized climate change as a fundamental rights issue; NGT to be strengthened for environmental justice,Braj Foundation v. State of UP,2017.0,NGT has jurisdiction over all matters in Schedule I; state cannot oust NGT jurisdiction by local legislation,High,Environmental Laws - NGT,2010,"Ministry of Environment, Forest and Climate Change",Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-230,Statute,Environmental Laws,Air Prevention and Control of Pollution Act 1981,Air (Prevention and Control of Pollution) Act 1981,"An Act to provide for the prevention, control and abatement of air pollution, for the establishment, with a view to carrying out the aforesaid purposes, of Boards, for conferring on and assigning to such Boards powers and functions relating thereto and for matters connected therewith","Enacted under Article 253 after the UN Stockholm Conference resolution. Central and State Pollution Control Boards regulate air quality. Industries require consent from SPCB. National Ambient Air Quality Standards (NAAQS) set by CPCB. Delhi's odd-even scheme, GRAP (Graded Response Action Plan) derive authority from this Act.","Air Pollution,CPCB,SPCB,Ambient Air Quality,NAAQS,Consent to Operate",M.C. Mehta v. Union of India (Vehicular Pollution),1991.0,Delhi vehicular pollution — SC directed conversion of public transport to CNG; courts can direct pollution control measures,M.C. Mehta v. Union of India (Taj Trapezium),1996.0,Industries emitting sulphur pollutants near Taj Mahal directed to relocate; air pollution causes heritage damage,High,Environmental Laws - Air,1981,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-231,Statute,Social Laws,Protection of Women from Domestic Violence Act 2005,Protection of Women from Domestic Violence Act 2005,An Act to provide for more effective protection of the rights of women guaranteed under the Constitution who are victims of violence of any kind occurring within the family and for matters connected therewith or incidental thereto,"Comprehensive civil law for domestic violence protection. Covers physical, sexual, emotional, verbal, and economic abuse. Provides for: Protection Orders (no-contact), Residence Orders (right to live in shared household), Monetary Relief, Custody Orders, Compensation Orders. Magistrate can pass ex parte orders. Protection Officers assist victims.","Domestic Violence,Protection Order,Residence Order,PWDVA,Shared Household,Monetary Relief",Indra Sarma v. V.K.V. Sarma,2013.0,Domestic Violence Act applies to relationships in the nature of marriage; live-in relationships covered,S.R. Batra v. Taruna Batra,2007.0,Shared household under PWDVA means household belonging to husband or jointly owned; wife cannot claim right in in-laws' house if husband has no interest in it,High,Social Laws - Women Protection,2005,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
